numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire
POL115331,2024-05-18,2024-06-13,2024-11-08,5WP 885,suspendu,akwaba,direct
POL643562,2020-02-26,2024-11-03,2025-04-06,596CC,valide,akwaba,agent
POL370732,2022-06-24,2024-04-04,2025-05-06,DBJ-413,expiré,akwaba,courtier
POL584794,2020-01-20,2024-12-15,2025-05-06,860 IUI,annulé,akwaba,agent
POL170638,2023-07-27,2025-03-15,2025-05-28,242 8708,annulé,yako,direct
POL880467,2020-02-19,2022-12-17,2024-05-13,2944,valide,yako,courtier
POL939815,2021-10-26,2024-12-28,2025-03-09,KON 944,expiré,yako,agent
POL735885,2022-04-30,2023-04-04,2023-12-21,945 RQI,annulé,yako,agent
POL822468,2024-07-30,2024-10-23,2025-05-23,0G K7092,expiré,yako,direct
POL871984,2023-05-09,2023-12-03,2024-04-08,6S 1833K,suspendu,yako,courtier
POL113079,2023-04-20,2025-03-14,2025-05-21,9GQ 196,valide,akwaba,agent
POL839994,2023-05-07,2025-01-07,2025-08-02,KGK 267,valide,akwaba,courtier
POL376444,2022-09-23,2025-05-24,2025-06-06,38Q J98,annulé,yako,direct
POL073674,2021-07-13,2025-02-15,2025-07-01,6FB F77,suspendu,akwaba,agent
POL793011,2022-02-05,2024-01-03,2025-01-09,D28 0LU,expiré,akwaba,direct
POL632320,2022-07-06,2024-06-29,2025-03-20,KMX 424,expiré,yako,courtier
POL635179,2023-10-25,2024-12-11,2025-09-12,MVZ 121,annulé,yako,courtier
POL721644,2023-06-16,2025-08-07,2025-09-24,844 6412,expiré,yako,agent
POL799397,2022-01-17,2024-05-14,2025-08-12,687 LPT,valide,akwaba,courtier
POL219223,2021-11-14,2025-09-14,2025-09-14,072728,annulé,akwaba,direct
POL449977,2024-04-13,2024-05-16,2024-10-15,6V GE068,valide,akwaba,agent
POL068061,2021-06-26,2024-02-09,2025-07-06,633 HPJ,annulé,akwaba,agent
POL120137,2019-11-08,2020-04-26,2021-12-31,VDT-487,suspendu,yako,courtier
POL837204,2022-01-26,2023-05-29,2024-04-18,037472,annulé,yako,direct
POL446722,2021-11-05,2023-02-21,2025-02-12,WHI-4895,valide,akwaba,direct
POL839375,2024-08-17,2025-05-30,2025-07-05,Y 053113,expiré,akwaba,courtier
POL166496,2023-06-01,2025-01-31,2025-08-04,315-YDL,suspendu,akwaba,agent
POL183861,2020-08-31,2021-04-14,2024-03-29,5VV 356,suspendu,yako,direct
POL494880,2020-04-14,2023-12-09,2024-05-18,K30-81G,annulé,akwaba,courtier
POL713484,2022-09-22,2023-09-03,2025-01-11,288WD,annulé,akwaba,courtier
POL659839,2020-02-15,2025-02-18,2025-06-18,GQD 7722,annulé,yako,direct
POL708696,2020-08-05,2020-12-03,2025-05-13,0YB2279,annulé,yako,agent
POL117205,2020-08-31,2023-10-06,2025-08-25,M68 9TA,annulé,akwaba,direct
POL214823,2021-12-05,2024-03-08,2024-12-20,R 037066,valide,yako,agent
POL052404,2023-11-15,2025-04-17,2025-06-10,9LF 260,annulé,yako,courtier
POL809311,2021-08-29,2023-06-24,2025-04-26,0E 9W7YHZ,annulé,yako,agent
POL781560,2021-06-19,2023-01-20,2024-01-20,286-KRQ,expiré,akwaba,direct
POL198225,2022-09-08,2024-05-28,2025-07-17,JMV 409,suspendu,akwaba,agent
POL989478,2024-08-09,2024-10-22,2025-02-01,RNB0142,expiré,akwaba,courtier
POL056821,2019-11-19,2023-05-25,2024-03-07,08AI935,annulé,akwaba,agent
POL594430,2019-09-28,2022-01-30,2024-03-25,5MZZ 10,annulé,akwaba,direct
POL560134,2020-10-01,2022-02-13,2022-10-31,PIF 076,suspendu,yako,courtier
POL231017,2021-05-03,2022-04-26,2023-01-02,GOK-2399,valide,yako,agent
POL695111,2022-11-29,2023-07-06,2025-05-31,BI4 6855,annulé,akwaba,courtier
POL044644,2024-07-18,2024-08-28,2024-09-29,ACG-4961,expiré,yako,direct
POL791288,2020-01-25,2025-07-14,2025-09-23,9-99432Q,valide,akwaba,direct
POL481174,2023-02-17,2023-12-25,2024-11-01,FVL2667,suspendu,akwaba,direct
POL489501,2023-05-01,2025-01-03,2025-01-28,245 DWA,suspendu,yako,agent
POL679492,2024-05-21,2024-05-24,2024-09-01,U30-10Q,expiré,akwaba,courtier
POL048931,2022-02-25,2024-12-03,2025-03-14,VDV6559,expiré,yako,agent
POL471863,2024-09-21,2025-08-05,2025-08-22,7N T6673,suspendu,yako,courtier
POL552779,2024-04-30,2025-06-05,2025-07-20,HUK 500,suspendu,akwaba,agent
POL463059,2021-03-13,2025-04-27,2025-04-28,HEW 518,expiré,yako,agent
POL107304,2020-06-26,2025-07-12,2025-07-14,IIT0256,expiré,yako,courtier
POL463662,2023-07-19,2023-12-19,2024-09-09,TXF 392,suspendu,yako,agent
POL397985,2023-05-13,2025-08-26,2025-09-10,Y53 9PH,valide,akwaba,direct
POL736632,2020-12-16,2023-08-18,2024-05-23,N85-BOS,valide,yako,direct
POL230662,2021-08-04,2023-05-19,2024-10-06,242 8WE,annulé,yako,courtier
POL851789,2022-01-03,2022-01-04,2024-03-27,212 LIC,suspendu,yako,direct
POL519149,2022-07-17,2023-02-10,2025-09-10,9WK6997,expiré,yako,courtier
POL258203,2021-10-14,2023-06-09,2023-06-26,JUT 941,annulé,akwaba,direct
POL595102,2024-06-17,2025-06-26,2025-09-07,672-MGP,expiré,yako,direct
POL578999,2021-05-08,2024-05-06,2024-07-24,WAT 135,suspendu,akwaba,courtier
POL868922,2019-12-04,2021-11-13,2025-09-18,QYM 834,valide,akwaba,courtier
POL918733,2023-06-28,2025-07-09,2025-08-18,402 KYB,valide,yako,direct
POL957454,2020-05-25,2024-07-14,2025-07-14,KMW 378,annulé,yako,direct
POL033651,2020-12-31,2024-03-17,2024-03-21,55PT566,suspendu,yako,courtier
POL804999,2024-06-11,2025-02-16,2025-09-12,A01-BAH,valide,akwaba,courtier
POL761020,2019-11-08,2025-01-30,2025-01-30,HYN 080,suspendu,yako,courtier
POL008866,2024-01-09,2024-02-11,2024-04-17,36J•690,suspendu,yako,direct
POL524485,2020-09-16,2021-06-02,2022-11-23,C10-45F,valide,akwaba,direct
POL834050,2022-04-14,2023-02-20,2023-03-24,5W 0392M,annulé,yako,direct
POL115650,2022-05-14,2025-02-18,2025-08-26,HEN 113,expiré,yako,direct
POL646812,2023-12-28,2024-10-05,2025-07-21,OQF 921,valide,akwaba,agent
POL756802,2021-09-14,2023-03-10,2024-04-08,5J 8769Q,suspendu,yako,direct
POL826079,2020-03-04,2023-05-11,2025-02-17,7-34047,annulé,yako,agent
POL287889,2023-09-23,2024-02-27,2024-07-17,585 XR2,expiré,akwaba,agent
POL447203,2024-04-28,2024-05-21,2024-07-19,KAN-3197,expiré,yako,agent
POL098720,2021-03-07,2022-03-29,2024-03-13,3T 7K2DDG,suspendu,yako,direct
POL714264,2022-07-09,2023-05-21,2023-11-13,935 HCG,valide,akwaba,direct
POL808889,2021-10-18,2025-03-24,2025-04-12,216 PCJ,annulé,akwaba,courtier
POL100673,2023-11-28,2024-03-27,2025-01-09,QLO 849,expiré,akwaba,agent
POL473701,2020-08-13,2021-04-11,2025-05-20,EOO-8379,suspendu,yako,direct
POL174895,2022-04-29,2023-09-23,2024-12-24,48T K34,expiré,yako,agent
POL964248,2023-05-17,2024-06-24,2025-01-04,CXP 186,valide,akwaba,direct
POL403119,2022-03-18,2022-05-06,2024-10-26,647-UGV,annulé,yako,agent
POL767859,2023-10-27,2024-09-05,2025-01-30,2-10253H,suspendu,akwaba,courtier
POL261258,2022-02-28,2025-07-01,2025-07-20,371WPK,suspendu,yako,direct
POL525632,2020-10-11,2023-09-16,2025-08-07,201 6395,suspendu,yako,agent
POL249882,2023-06-06,2024-09-07,2024-12-19,WFZ 729,expiré,yako,courtier
POL649842,2023-10-17,2024-11-16,2025-04-14,28H S10,suspendu,akwaba,direct
POL523218,2020-12-16,2024-12-05,2025-03-12,440 SZV,expiré,yako,direct
POL702056,2021-10-24,2025-04-16,2025-04-25,812-LIC,annulé,yako,courtier
POL980237,2021-05-16,2024-03-09,2024-06-29,16S 914,valide,yako,agent
POL090600,2022-08-23,2023-04-27,2024-05-11,9QA8934,valide,yako,direct
POL320351,2021-06-15,2024-12-12,2024-12-22,27G I52,suspendu,yako,agent
POL820299,2024-02-02,2025-03-09,2025-09-22,8IV Q41,annulé,yako,courtier
POL292913,2024-07-24,2025-07-15,2025-08-08,MUN 273,valide,yako,courtier
POL185482,2021-03-01,2023-08-26,2023-09-24,62E•909,suspendu,akwaba,courtier
POL298344,2024-01-13,2025-07-27,2025-08-08,25J Y50,suspendu,akwaba,direct
POL460970,2024-01-04,2025-05-24,2025-08-31,325VJG,annulé,akwaba,courtier
POL735849,2022-02-01,2024-07-19,2025-04-12,QSS 881,valide,akwaba,agent
POL069499,2021-07-20,2022-04-18,2022-08-06,699 HXV,suspendu,yako,courtier
POL692978,2024-09-02,2025-02-05,2025-09-14,BAK 845,suspendu,yako,direct
POL214024,2023-12-05,2025-04-19,2025-09-23,6C 1W0CEE,expiré,yako,courtier
POL645607,2021-10-09,2025-02-16,2025-05-05,074-TDT,suspendu,yako,courtier
POL119105,2021-07-25,2024-09-05,2024-12-29,TYA-767,annulé,yako,agent
POL023069,2021-09-29,2021-10-10,2022-01-02,66Z•921,expiré,yako,direct
POL049134,2019-11-19,2020-07-10,2022-07-14,078-MFG,valide,yako,courtier
POL963432,2022-08-07,2023-08-03,2025-01-05,10L GW8,valide,yako,agent
POL453756,2020-10-17,2020-11-10,2023-03-26,LLL6543,suspendu,akwaba,agent
POL852514,2022-07-19,2024-03-31,2025-08-08,OND 7643,annulé,yako,agent
POL027891,2020-02-26,2025-06-22,2025-07-14,211 GN5,suspendu,akwaba,courtier
POL897209,2020-06-09,2024-08-25,2025-09-03,09O 3392,valide,yako,courtier
POL366936,2022-05-17,2023-06-17,2023-08-27,142 1WX,annulé,yako,direct
POL347432,2021-06-12,2022-03-23,2022-08-10,QGD-7371,valide,yako,courtier
POL086788,2023-03-25,2025-02-03,2025-02-05,ORU 7702,expiré,akwaba,direct
POL065318,2020-10-06,2021-06-18,2024-10-29,30B•893,annulé,yako,agent
POL298128,2024-07-13,2025-05-15,2025-05-26,9WIC 06,valide,akwaba,agent
POL083844,2021-08-28,2022-08-12,2024-06-12,EEJ-033,suspendu,yako,direct
POL441115,2022-11-12,2024-03-08,2024-06-28,6646,annulé,akwaba,direct
POL210993,2020-03-11,2022-05-11,2024-11-12,MZD 236,annulé,yako,direct
POL326822,2020-11-19,2022-02-21,2025-01-10,987-YEB,suspendu,yako,agent
POL089169,2023-03-25,2025-06-30,2025-07-28,842-JBQ,annulé,akwaba,agent
POL903180,2020-02-02,2020-04-14,2025-04-11,92-79525,valide,akwaba,courtier
POL870510,2020-03-04,2023-12-08,2024-10-21,784-VQY,valide,akwaba,courtier
POL840042,2020-12-02,2022-10-09,2024-03-04,ODP4737,expiré,akwaba,courtier
POL324581,2021-05-18,2024-02-21,2024-03-07,AUM9505,expiré,akwaba,courtier
POL265784,2024-03-04,2025-05-18,2025-07-15,111 FVY,expiré,akwaba,direct
POL324682,2022-05-16,2022-08-23,2023-09-20,SVV 661,annulé,yako,direct
POL646617,2023-02-06,2024-09-13,2025-09-03,242-SBU,annulé,yako,agent
POL335528,2023-08-31,2025-05-15,2025-05-20,MSF1303,expiré,akwaba,courtier
POL094728,2022-07-30,2024-08-09,2025-09-02,FAA 118,expiré,akwaba,agent
POL444750,2021-06-28,2021-08-06,2025-08-05,164 1711,valide,yako,direct
POL367772,2023-05-20,2024-07-09,2025-08-07,196-HJD,expiré,yako,direct
POL143922,2023-08-07,2025-01-21,2025-09-19,6-52802,annulé,akwaba,agent
POL900461,2022-12-28,2024-12-04,2025-07-25,LHL 118,suspendu,akwaba,direct
POL055009,2022-02-17,2025-08-16,2025-09-03,N91 9GJ,expiré,akwaba,agent
POL797308,2020-07-16,2022-08-31,2025-04-03,DMR 060,valide,akwaba,agent
POL451163,2023-04-22,2025-08-13,2025-08-17,76Z X18,suspendu,yako,courtier
POL565928,2022-07-29,2023-03-27,2025-02-22,133-728,valide,akwaba,agent
POL948228,2022-09-15,2024-05-06,2025-03-25,542-RGFX,annulé,yako,direct
POL466323,2020-04-24,2023-04-02,2024-04-30,519883,annulé,yako,courtier
POL400082,2023-08-06,2023-12-13,2025-06-19,3QTT109,valide,akwaba,courtier
POL237144,2021-06-17,2024-09-12,2025-08-22,RUF-5263,valide,akwaba,courtier
POL016143,2021-07-02,2023-09-21,2025-08-03,597V9,suspendu,yako,direct
POL526997,2023-09-12,2024-06-04,2024-07-30,44H•867,suspendu,yako,courtier
POL168558,2021-08-22,2024-02-07,2024-12-25,820EW,suspendu,akwaba,direct
POL851708,2020-06-01,2023-12-31,2024-03-02,TIQ 8707,annulé,yako,direct
POL266461,2023-01-28,2023-09-05,2024-04-04,DYH-741,annulé,akwaba,agent
POL403263,2023-10-03,2024-01-15,2024-04-21,084IUG,expiré,akwaba,direct
POL079904,2020-05-14,2022-09-06,2024-03-31,5GG84,suspendu,yako,agent
POL883015,2022-06-30,2023-03-19,2025-06-30,XVI-5908,expiré,yako,courtier
POL826394,2024-03-03,2024-06-21,2025-09-19,KZB 291,annulé,yako,agent
POL713354,2023-05-08,2024-10-14,2025-02-22,666-HWJQ,annulé,akwaba,courtier
POL373079,2020-01-30,2025-02-05,2025-05-14,105-EHB,expiré,yako,direct
POL560483,2023-07-09,2024-07-05,2024-09-30,438 0658,valide,yako,courtier
POL637759,2023-12-01,2025-08-06,2025-09-01,0KO 421,annulé,yako,courtier
POL451567,2019-11-16,2025-03-17,2025-04-21,FVP-057,expiré,akwaba,courtier
POL035115,2020-07-07,2021-06-02,2023-07-08,AO4 7906,annulé,akwaba,direct
POL328443,2021-04-24,2025-01-12,2025-07-07,8F HQ042,suspendu,yako,courtier
POL695084,2023-09-05,2025-05-18,2025-06-05,73X•484,valide,yako,agent
POL428740,2023-02-03,2024-09-04,2025-01-11,3KJ Y77,expiré,akwaba,direct
POL292961,2023-12-17,2024-11-03,2024-12-23,488 1PQ,expiré,yako,direct
POL885299,2019-12-22,2024-07-10,2024-12-15,8227 KX,suspendu,akwaba,direct
POL289094,2022-12-03,2022-12-25,2025-04-30,IVF 874,annulé,yako,courtier
POL931785,2023-08-28,2025-08-02,2025-08-04,61-KD35,annulé,yako,agent
POL873915,2020-09-16,2025-05-11,2025-09-20,044WKC,expiré,yako,courtier
POL971860,2024-07-20,2024-08-17,2025-05-12,2RU68,suspendu,yako,direct
POL033205,2024-05-08,2024-11-10,2025-02-14,023 4ZS,suspendu,yako,courtier
POL968975,2024-09-23,2024-12-03,2025-05-08,ZPK 790,suspendu,yako,courtier
POL985177,2022-10-24,2023-10-02,2025-02-07,631 QJU,valide,akwaba,courtier
POL971873,2020-10-29,2022-12-02,2023-06-01,WDW0897,valide,akwaba,direct
POL523886,2023-03-26,2025-07-09,2025-09-06,HYG 252,expiré,akwaba,direct
POL675318,2022-01-26,2024-04-06,2024-06-17,ZTA 587,valide,akwaba,courtier
POL560437,2022-08-06,2022-09-30,2024-07-31,656G,valide,yako,direct
POL307799,2021-04-14,2022-01-22,2024-02-20,5P 9B3QUK,annulé,akwaba,agent
POL084392,2020-08-26,2020-10-01,2024-05-14,565454,annulé,yako,courtier
POL181816,2022-08-22,2024-04-12,2024-06-19,AC-7167,valide,yako,direct
POL340287,2022-10-15,2025-01-10,2025-06-02,KBK 999,valide,yako,agent
POL722631,2023-03-28,2025-05-01,2025-06-09,HDJ 927,expiré,akwaba,courtier
POL145481,2021-06-21,2025-07-29,2025-09-18,GEK 938,expiré,akwaba,courtier
POL132765,2022-08-23,2025-04-04,2025-04-30,ZKG 373,suspendu,akwaba,agent
POL704232,2023-07-08,2023-07-30,2024-12-29,MNU 144,suspendu,akwaba,agent
POL467919,2022-08-02,2025-05-06,2025-05-23,61-47761,suspendu,yako,agent
POL992654,2024-01-13,2024-06-04,2025-08-14,80KC195,expiré,yako,agent
POL555063,2022-08-26,2024-04-17,2024-07-04,6Z 8015U,annulé,yako,direct
POL056540,2022-11-15,2024-10-31,2025-06-08,948 1461,suspendu,akwaba,courtier
POL881226,2023-01-17,2023-03-29,2025-06-19,7OI 485,annulé,yako,direct
POL479540,2022-12-23,2025-03-27,2025-03-27,INL7465,valide,akwaba,courtier
POL251113,2024-01-20,2025-09-04,2025-09-05,OUC 400,valide,akwaba,agent
POL955766,2022-05-31,2023-10-29,2024-01-07,5ME35,annulé,akwaba,agent
POL587898,2024-05-09,2025-04-21,2025-07-10,7QU 020,suspendu,akwaba,courtier
POL937829,2022-06-02,2023-06-29,2025-08-02,NHQ-9854,expiré,yako,direct
POL451484,2021-02-25,2023-10-14,2025-04-20,9U D6748,suspendu,akwaba,courtier
POL809363,2020-09-29,2024-10-19,2024-12-07,901-KWT,valide,yako,direct
POL870391,2023-09-06,2025-02-19,2025-06-23,28J•966,valide,akwaba,direct
POL594680,2022-09-02,2024-03-12,2024-04-08,43-J614,suspendu,yako,direct
POL063769,2024-07-22,2024-10-28,2025-07-09,RLE S31,valide,akwaba,courtier
POL159236,2024-05-01,2025-04-25,2025-08-10,820-EDBE,suspendu,akwaba,courtier
POL610484,2023-10-03,2024-03-11,2024-03-12,000-FWX,valide,akwaba,courtier
POL326178,2022-03-18,2023-10-22,2024-11-22,ZGD 659,expiré,akwaba,direct
POL097489,2022-10-04,2022-12-13,2024-02-05,908-WIGK,expiré,yako,agent
POL687762,2023-12-02,2024-04-04,2024-12-02,KMD-569,valide,akwaba,direct
POL953743,2021-06-11,2024-11-22,2025-09-01,815 KYM,valide,yako,courtier
POL750932,2022-07-15,2023-09-28,2025-03-16,KU3 3932,expiré,yako,courtier
POL685256,2024-02-15,2025-04-14,2025-08-20,MQY 598,suspendu,akwaba,direct
POL513724,2019-10-12,2020-04-08,2022-03-07,CBQ-935,valide,akwaba,courtier
POL345099,2020-08-10,2024-07-17,2025-01-20,08-ML20,valide,akwaba,direct
POL468356,2021-01-05,2022-06-05,2022-08-08,10Y•634,annulé,akwaba,courtier
POL343772,2022-05-15,2023-01-19,2023-10-20,WGC-3507,annulé,yako,direct
POL557335,2020-09-30,2025-05-30,2025-09-21,R01 0GH,valide,yako,agent
POL159832,2021-09-05,2021-09-16,2025-04-24,LPS 107,expiré,akwaba,agent
POL465399,2023-08-20,2024-07-09,2024-11-07,717 BON,expiré,yako,agent
POL472881,2023-12-04,2024-08-27,2025-04-01,86-9733Q,valide,akwaba,agent
POL915635,2024-08-23,2025-01-26,2025-04-21,2985,valide,yako,courtier
POL717871,2020-06-19,2025-07-22,2025-08-22,TAC-7129,valide,yako,courtier
POL765188,2021-10-07,2023-03-01,2023-11-26,967 EFS,annulé,yako,courtier
POL929791,2019-12-19,2024-12-10,2025-09-09,4-77855,suspendu,akwaba,direct
POL225696,2024-04-01,2024-08-23,2025-08-30,19-OV60,valide,akwaba,agent
POL816692,2023-12-27,2024-01-03,2025-02-23,498950,annulé,yako,direct
POL846491,2020-02-20,2024-02-12,2025-09-01,15CZ6,expiré,yako,agent
POL127170,2022-12-04,2023-01-06,2024-08-14,9GK 585,expiré,akwaba,courtier
POL929077,2022-09-13,2023-02-10,2024-03-27,HPF-8196,expiré,akwaba,agent
POL393590,2022-03-22,2025-04-28,2025-05-30,84Y 3881,annulé,akwaba,courtier
POL927128,2019-10-08,2023-07-03,2023-10-06,4-4266F,suspendu,akwaba,courtier
POL686629,2020-12-19,2023-02-28,2023-12-08,127 RJW,annulé,yako,courtier
POL163843,2022-01-21,2022-08-06,2023-04-04,75D E19,annulé,akwaba,agent
POL528778,2020-08-24,2023-08-15,2024-12-12,407 UBL,suspendu,akwaba,agent
POL611443,2021-02-06,2022-07-23,2023-03-14,JQ7 7893,annulé,akwaba,courtier
POL898775,2024-07-21,2024-11-24,2024-12-12,2WD 279,expiré,yako,agent
POL402631,2024-06-28,2025-04-02,2025-04-21,UX-6232,suspendu,akwaba,agent
POL468233,2020-02-29,2024-03-07,2025-09-05,39-8424L,suspendu,akwaba,direct
POL674662,2023-05-08,2024-01-20,2025-08-14,3817,expiré,yako,direct
POL058437,2023-07-27,2024-09-02,2024-09-02,80-HA08,annulé,yako,courtier
POL162245,2020-11-08,2024-01-17,2024-01-24,8GQ53,suspendu,yako,agent
POL082532,2024-07-30,2025-03-10,2025-06-17,7ND 905,valide,akwaba,direct
POL101966,2023-09-29,2025-08-13,2025-09-01,4BF6762,valide,yako,agent
POL249454,2021-04-09,2022-11-01,2023-07-19,543GSN,expiré,yako,agent
POL279435,2023-01-06,2023-02-09,2025-06-14,NQ-9391,suspendu,yako,courtier
POL295537,2024-07-22,2025-02-14,2025-09-04,566 NP8,annulé,yako,courtier
POL654350,2020-10-24,2021-12-07,2022-11-19,281-PQH,suspendu,akwaba,direct
POL063865,2021-12-27,2023-08-29,2025-06-18,H09-BDT,valide,yako,agent
POL761448,2022-03-23,2023-05-28,2024-03-06,K72 2KV,suspendu,akwaba,agent
POL244948,2021-10-01,2025-04-11,2025-08-19,80QW7,suspendu,yako,agent
POL798717,2021-10-28,2024-01-11,2025-03-08,946LOW,expiré,yako,courtier
POL613674,2024-01-01,2024-11-30,2025-08-15,MAY-387,annulé,yako,agent
POL369240,2024-02-10,2025-08-14,2025-08-25,253 YIZ,suspendu,yako,direct
POL380944,2022-09-09,2024-12-17,2025-03-09,8XV 097,annulé,yako,courtier
POL367446,2021-10-20,2025-02-26,2025-04-17,0W 9113A,suspendu,yako,courtier
POL120487,2023-06-20,2024-12-09,2025-08-02,326 5139,suspendu,yako,direct
POL627728,2024-01-14,2025-09-11,2025-09-24,549169,expiré,akwaba,courtier
POL661521,2022-04-09,2022-12-27,2025-03-17,FNL-133,valide,yako,agent
POL034797,2019-10-31,2023-09-30,2025-01-03,KLO 830,annulé,yako,courtier
POL098762,2023-11-06,2025-08-01,2025-09-21,28MU3,valide,akwaba,courtier
POL701042,2023-05-04,2024-11-01,2025-07-16,2539,valide,akwaba,direct
POL393949,2021-06-30,2025-01-20,2025-01-31,821GBO,annulé,akwaba,courtier
POL366713,2021-03-28,2025-04-13,2025-07-15,9850,expiré,akwaba,direct
POL613870,2020-01-10,2025-07-14,2025-08-24,063-TMQ,expiré,yako,direct
POL534704,2020-03-01,2025-08-15,2025-08-31,539 7MG,annulé,akwaba,agent
POL734264,2021-07-20,2023-09-07,2024-05-22,03N XK9,expiré,akwaba,direct
POL630272,2020-09-09,2022-02-13,2023-10-22,239 ZBK,expiré,yako,courtier
POL091389,2020-07-27,2021-05-02,2024-07-01,M44 5NM,suspendu,akwaba,courtier
POL672559,2020-09-13,2024-03-26,2024-04-29,FG 1531,expiré,akwaba,courtier
POL649654,2020-08-05,2022-08-18,2024-09-24,090-ILM,expiré,yako,agent
POL586651,2024-05-05,2024-05-30,2024-07-19,FYG-7549,annulé,yako,courtier
POL571830,2024-01-20,2024-10-05,2025-06-10,940 6QG,annulé,akwaba,agent
POL740146,2022-12-19,2023-02-26,2023-08-21,HSQ 548,valide,yako,direct
POL661938,2024-02-09,2024-05-10,2024-12-26,SFX 084,valide,yako,agent
POL811814,2023-11-19,2024-04-22,2024-11-22,ZBG P18,suspendu,yako,direct
POL769641,2020-04-07,2022-09-06,2025-02-10,ZQK 948,annulé,akwaba,agent
POL609218,2021-12-11,2025-08-21,2025-09-07,NVE-4826,annulé,yako,agent
POL026489,2019-10-31,2022-12-03,2024-11-04,4P348,annulé,yako,direct
POL601018,2024-07-12,2025-02-18,2025-03-16,6J X8612,annulé,yako,agent
POL700844,2021-03-05,2023-12-07,2024-09-29,FUZ-573,annulé,akwaba,agent
POL688111,2024-03-14,2025-03-27,2025-06-28,929 BJD,valide,yako,courtier
POL624060,2023-01-13,2023-02-17,2024-07-08,MNS-5647,suspendu,yako,direct
POL080516,2023-11-26,2024-11-30,2025-01-29,JYU-1181,annulé,akwaba,direct
POL365807,2022-12-06,2024-07-26,2024-11-12,02-S708,expiré,yako,agent
POL788712,2024-03-27,2025-05-17,2025-09-15,JWI-832,expiré,yako,direct
POL228355,2022-07-09,2025-07-14,2025-09-01,FDI8833,valide,yako,agent
POL674548,2023-05-26,2024-03-27,2024-09-02,956 BYG,expiré,yako,courtier
POL384118,2023-10-29,2023-11-30,2024-07-23,1336,valide,yako,direct
POL250734,2023-02-12,2025-09-21,2025-09-22,695834,expiré,akwaba,agent
POL259951,2023-04-23,2024-09-05,2025-08-23,KLD-0103,valide,yako,courtier
POL681734,2020-08-26,2024-04-11,2024-08-27,7ATF 75,suspendu,yako,agent
POL024196,2024-07-06,2025-03-24,2025-06-19,AKZ-6379,valide,yako,direct
POL849729,2020-02-28,2023-08-23,2025-05-01,497 ZCG,valide,yako,courtier
POL849747,2023-09-07,2023-10-03,2025-04-22,7D 14063,valide,yako,agent
POL530664,2024-02-09,2025-05-27,2025-07-28,533884,expiré,akwaba,direct
POL985904,2021-10-31,2024-03-01,2025-08-01,IRA 439,valide,akwaba,courtier
POL802887,2023-04-09,2023-09-04,2024-04-23,P44 4TH,valide,yako,courtier
POL355835,2022-12-29,2024-10-26,2025-02-27,49-9463Y,expiré,yako,courtier
POL460415,2020-11-15,2023-03-02,2024-08-04,895U8,annulé,yako,agent
POL813939,2020-03-07,2023-06-26,2023-09-16,OLM-965,expiré,akwaba,direct
POL098460,2021-07-09,2022-01-25,2023-07-26,85-K143,suspendu,yako,courtier
POL246386,2022-07-03,2023-05-05,2025-05-02,92L•649,suspendu,akwaba,courtier
POL732544,2023-04-14,2023-05-12,2025-05-07,GGA-3827,valide,yako,agent
POL149083,2022-06-21,2023-09-22,2025-07-09,106 VSU,annulé,yako,agent
POL194913,2020-09-27,2020-11-07,2021-01-08,FLO 676,expiré,akwaba,direct
POL607174,2020-04-13,2023-09-01,2023-10-09,HQT-588,valide,yako,direct
POL046972,2023-11-09,2023-12-10,2024-11-05,389-YIL,annulé,yako,agent
POL166136,2023-10-20,2025-09-03,2025-09-22,931 7BI,valide,akwaba,agent
POL576117,2023-01-30,2023-05-31,2024-01-19,752 SVW,suspendu,akwaba,courtier
POL923456,2020-06-16,2024-04-26,2024-06-29,583-SRF,expiré,yako,courtier
POL808563,2021-09-30,2024-04-26,2024-10-25,708 DWB,annulé,yako,direct
POL993438,2024-03-25,2024-07-25,2024-12-21,9ZK 401,annulé,akwaba,agent
POL512718,2022-07-10,2022-11-23,2023-11-04,274 BSV,valide,yako,direct
POL558779,2020-02-24,2020-12-19,2024-09-17,M85 7CH,expiré,akwaba,agent
POL470149,2022-12-21,2023-07-04,2025-06-21,814M6,annulé,yako,agent
POL480967,2023-10-15,2025-09-24,2025-09-24,987 BGY,suspendu,akwaba,agent
POL998642,2023-08-26,2025-07-08,2025-09-20,90FD891,valide,yako,direct
POL062600,2023-09-16,2023-12-20,2024-11-12,22-QQ54,expiré,akwaba,courtier
POL090517,2024-06-06,2025-08-13,2025-08-22,919SUM,expiré,yako,direct
POL407729,2022-12-07,2023-06-18,2025-04-18,82-4852H,expiré,yako,direct
POL419010,2024-06-08,2024-11-06,2025-09-14,531EBW,valide,yako,agent
POL098733,2021-03-01,2025-09-16,2025-09-19,IJ4 O0O,valide,akwaba,courtier
POL319467,2024-09-05,2025-06-21,2025-07-08,85-45454,valide,yako,agent
POL645360,2021-04-06,2021-06-10,2025-01-20,328-SNZ,suspendu,yako,courtier
POL233359,2022-01-26,2025-04-30,2025-08-01,2UR 920,annulé,akwaba,agent
POL041806,2020-04-25,2024-08-14,2025-04-28,12-D579,valide,akwaba,agent
POL901837,2020-06-11,2020-11-21,2022-10-03,91Y L24,suspendu,akwaba,courtier
